bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:50000001-55000000	18270	17935	18368	18469	18108	18145	18093	17963	18263	18302	17743	17944	17466	17801	18152	17760	17774	17758	17585	17631	18091	18350	18003	17890	18221	18274	18253	18440	18135	18151	18427	18340	18385	18435	18408	18312	18327	18369	18438	18423	37358	37232	37710	37807	37320	37123	37336	38045	37575	37136	65142	64260	64502	64687	65077	65332	65356	64553	64438	65168	62846	63259	63072	63171	62793	63287	62837	62429	62461	63252	64445	63857	64070	64031	64050	64086	63843	63993	64022	64053	64404	64006	64658	64590	64678	63801	64484	64363	63975	64647	64020	64702	63927	64626	64668	64706	64797	64339	64924	64797
chr1:55000001-60000000	18287	18132	18007	17780	17939	18309	18250	17719	18066	18433	44678	44351	44920	44779	44413	44544	44454	43987	44575	44856	45019	45125	45769	45627	45363	45702	45362	44814	45217	45618	55075	54900	54324	55027	54903	54696	54652	55503	54764	54965	46480	46386	46447	45861	46433	46757	46585	46892	46633	46754	18378	18403	17764	18035	18120	18485	18064	18149	18456	18225	17649	17517	17648	18001	17735	17736	17795	18023	17876	18086	18499	18364	18082	18015	17861	17988	17917	17699	18479	18170	63453	63424	63918	64161	64332	64490	63689	64324	63871	63828	18481	18398	18452	18746	18639	18270	18691	18246	18256	18132
chr1:60000001-65000000	17972	18139	18112	18097	18272	18188	18017	18357	18080	18028	18173	18019	18155	18009	18045	17998	18127	17872	17741	17735	18098	18591	18359	18100	18366	18282	18300	18114	18141	18036	18377	18412	18858	18567	18191	18421	18142	18276	18349	18610	18683	18354	18973	18358	18738	18573	18605	18444	18275	18719	18429	18686	18651	18210	18487	18235	18392	18305	18179	18181	17864	17710	17757	17834	17875	18069	17986	18059	17829	17981	17920	18412	18276	18133	18132	18224	17900	18455	18472	18034	18277	18528	18219	18395	18299	18533	18033	18022	18116	18191	18296	18816	18498	18259	18464	18621	18413	18178	18635	18256
chr1:65000001-70000000	17807	17831	17847	17917	17905	18333	17961	18159	18307	18352	17541	17966	17620	17531	17722	17555	17736	17721	17595	17589	17858	17952	17981	17945	17991	17968	17689	17973	17749	18014	17890	18231	18020	18225	18295	18043	18207	18084	18077	18580	27618	28103	27995	27939	28101	27770	27715	27851	27845	27788	54083	54084	54008	54553	53901	54069	54284	54442	54018	54543	53031	52776	53005	52569	52656	52557	52424	52854	52487	52792	53705	53522	53914	54551	54115	53847	53781	53740	53468	53925	55064	55010	55066	55121	55038	55231	54787	54669	55487	55129	55058	54940	54560	55182	54712	54963	54623	55433	54987	54629
chr1:70000001-75000000	18067	18032	18459	17930	18320	18041	18078	18261	18131	17929	17569	17639	17898	17497	17627	18089	17697	17697	17832	17585	18166	18183	17999	17847	18295	17960	17953	17837	17628	18053	18483	18278	18254	18288	18279	18299	18407	18587	18497	18106	18933	18630	18951	18319	18658	18554	18763	18539	18147	18861	36462	36407	36472	36606	36652	36597	36659	36442	36695	36179	35533	35265	35424	36047	35414	35880	35738	35660	36031	35643	36091	36226	36599	36088	35697	36356	36400	35834	36482	36120	36522	36875	37052	36256	36605	36711	36608	36628	36897	36737	36457	36912	36544	36680	36978	36205	36778	36705	37119	36782
chr1:75000001-80000000	18027	18228	17849	18197	17933	17856	18006	17841	18179	18248	17843	17760	18023	17770	17701	17602	17633	17854	17545	17875	62753	63480	63257	63547	63391	62591	63521	63067	63187	63538	63677	64393	63957	63846	63854	63806	63950	64171	63057	63731	18360	18281	18594	18617	18506	18536	18324	18520	18233	18527	18433	17657	18150	18503	18050	18345	18338	17872	18231	18201	17604	17858	18316	17587	17873	17821	17770	17585	17852	17920	18214	17990	18018	18192	17917	18208	18475	18198	18073	18462	18124	17816	18177	17991	18336	18251	18056	18333	18480	17908	36503	36832	36833	36534	36253	37056	36495	36552	36447	36720
chr1:80000001-85000000	17915	17470	17889	17877	17773	17621	17417	17649	17557	17881	43184	43127	43551	43796	42781	43545	42954	43105	43118	43003	87860	87679	87628	87730	88157	87932	88086	87922	88280	88154	88214	88414	88929	89130	89278	88972	89075	89051	89388	88988	53525	54702	54160	54280	54086	53961	53416	53956	53731	54002	17578	17932	17815	17821	17774	17961	17997	18168	18078	17725	77098	77641	77937	77783	78241	77710	77434	77461	78290	78138	17242	17430	17567	17602	17757	17506	17330	17521	17808	17252	18039	17802	17956	17776	17801	17789	17770	17533	18126	17949	17875	17754	17856	17634	17875	17349	17752	17703	17597	17919
chr1:85000001-90000000	17889	17875	17931	17870	17744	17790	17896	18193	17824	17834	8860	8801	9000	8845	8929	9019	8862	8878	8657	8903	9040	8904	8939	8871	9037	8997	9008	8928	8966	9259	9108	9152	9185	9357	9115	9086	9156	8900	9290	9092	9245	9082	9184	9258	9123	9117	9445	9333	9225	9458	64087	64304	63399	63545	63649	63750	63991	63402	64215	64666	61732	62545	62246	61930	61967	61729	62482	62048	60920	62314	63213	63002	63186	63557	63417	63719	64108	63804	63178	62998	63642	63096	63870	63074	63028	62907	63509	62976	63533	63112	63545	64132	63308	63070	63620	63938	63944	63687	63705	63418
chr1:90000001-95000000	17932	18044	18227	18045	18221	18040	18452	18090	18134	17645	17712	17839	17721	18018	17501	17981	17902	17925	17710	17750	17920	18209	18062	18013	18079	18057	17961	17698	18178	18053	18287	18504	18611	18618	18009	18199	18149	18144	18438	18378	18505	18810	18615	18594	18555	18734	18645	18501	18518	18553	18335	18434	18064	18129	18069	18738	17981	18287	18472	18439	72004	70295	71934	70323	71534	70650	71747	71216	71046	70510	18258	18322	18161	18405	18171	18147	18362	18055	17938	18254	55227	54983	54348	54959	55291	54744	55328	55016	54536	55093	18469	18284	18181	18615	18400	18181	18260	18306	18310	18275
chr1:95000001-100000000	18213	18139	18175	18164	18102	17985	18169	18419	17969	18144	17689	17923	17836	17555	17825	17410	17717	17597	17966	17718	18016	17884	17891	18137	17778	18180	17991	18093	18175	18035	18286	18206	18397	18123	18575	18434	18204	18506	18514	18530	18678	18448	18851	18698	18595	18817	18576	18847	18593	18743	18253	18251	18481	18305	18279	18160	18115	17944	18430	18113	79974	79696	79589	79748	79756	79957	79993	80270	79702	79745	18234	17661	18596	17927	17984	18355	18132	17927	18150	17861	18383	17965	18643	18296	18344	18578	18361	18271	18263	18427	18406	18472	18034	18325	18236	18380	18734	18282	18578	18453
chr1:100000001-105000000	17611	17569	18036	17589	17658	17636	17365	17723	17659	17637	17069	17221	17077	17253	16813	17256	17204	17139	17223	17136	17431	17399	17395	17727	17440	17457	17880	17777	17478	17524	26879	26376	26406	25914	27024	26304	26416	26470	26490	26930	17938	18195	17911	18137	17863	18143	17589	18067	17817	17987	17638	17581	17910	17709	17664	17777	17779	17191	17636	17815	17593	17285	17403	17238	17422	17195	17078	17449	17479	17273	61699	62017	61570	61334	62101	61999	61654	61109	61884	61472	70634	70312	70912	70295	70079	71059	70258	71595	71575	70298	53870	53649	53929	52947	53495	53188	53244	53075	53277	53262
chr1:105000001-110000000	17491	17618	17831	17386	17526	17492	17664	17307	17757	17391	42684	42794	42727	41842	42505	42239	42581	42591	42700	42550	43455	43595	43542	43500	43787	43318	43608	43361	43653	43739	44153	44286	44429	44601	44064	43411	43844	44010	43922	44585	44552	44517	45069	44387	44080	44774	44212	44589	44732	44435	78586	78672	77831	78436	78719	79036	78334	78573	77993	78494	76288	76645	76299	76881	76780	76240	76695	76347	76457	76336	77486	77905	77644	77806	77363	77868	77639	77882	77855	77883	79619	80559	80215	79693	80223	79459	80502	80207	79778	79916	79565	79930	79418	79368	79651	79021	79625	79079	79621	80007
chr1:110000001-115000000	18282	18142	18271	18208	17711	18122	18332	18416	18028	17920	43955	44144	44611	43993	44527	44663	44220	44841	44824	44221	45211	44721	45251	44904	45515	44855	45478	45423	46076	45733	46413	45954	45886	45880	45670	45980	46615	45614	45856	46501	46676	46772	46930	46380	46620	46867	46731	46138	46409	46475	17969	18498	18516	17888	18234	18374	18158	18168	17916	18360	17583	18106	17700	17598	18021	17422	17803	17926	17704	17476	18313	18033	18043	18309	18007	18235	18088	18495	18195	18131	18090	18312	18464	18503	18335	18482	18385	18374	18209	18198	18098	18816	18223	18533	18238	18143	17964	18575	18439	18651
chr1:115000001-120000000	18198	18056	18059	17740	17990	18354	17839	17902	18187	18315	17741	17820	17738	17344	18127	17532	17525	17893	17890	17766	17914	17860	18131	18022	18250	18265	18158	17950	17958	17857	18150	18061	18238	18102	18006	17773	18143	17997	17993	18274	9359	9186	9022	9122	9277	9108	9364	9242	9301	9440	18234	17955	18363	18547	18343	18247	18095	17997	18607	18742	17892	17793	17517	17647	17488	17500	17619	17563	17839	17423	17461	17986	18142	17811	17726	17924	18533	18146	18108	17952	18172	18296	18417	18161	18024	18030	18048	18124	18454	18326	18579	18296	18322	18486	18254	17953	18177	18400	18267	18137
chr1:120000001-125000000	2085	1996	2039	2065	2034	2082	2041	2088	1894	2001	4965	5017	4792	4924	4970	4966	4871	4862	5043	5022	5191	5212	5020	5116	5066	4987	5095	5091	5206	5017	5012	4901	5123	5095	5127	5050	5107	5112	4969	5192	5140	5103	5247	4976	5140	5176	5109	5033	5135	5209	2049	2025	2053	2049	2019	2037	2066	2037	2037	2011	7943	7961	7852	7901	7983	7834	7953	7809	7825	7830	8918	9171	9087	9098	8982	8927	9311	9069	9178	9150	9131	9122	9303	9106	9231	9314	9089	9253	9013	9172	2046	2083	2054	2128	1968	2103	2016	2087	2097	2035
chr1:125000001-130000000	570	540	545	508	535	550	621	544	530	579	497	538	586	567	563	527	541	560	611	582	2181	2264	2176	2255	2121	2240	2248	2217	2316	2223	2263	2352	2259	2330	2148	2176	2202	2340	2210	2413	554	595	555	609	633	561	567	607	633	532	1995	1951	2086	2021	2089	2061	1917	2017	1905	2027	1903	1884	1914	1974	1878	2001	1915	1954	1982	1927	2063	2014	1912	2065	1993	2025	1983	1899	2033	1988	2020	2073	2049	1969	1970	2115	2144	2001	2017	2014	1971	1926	1993	1959	1951	2010	1886	1923	2110	2025
chr1:130000001-135000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:135000001-140000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:140000001-145000000	1236	1205	1197	1121	1249	1231	1212	1197	1126	1253	1108	1189	1199	1099	1152	1189	1229	1203	1164	1182	1175	1152	1085	1171	1200	1187	1174	1178	1203	1180	2914	2981	3084	3038	3035	3016	3114	3123	3170	3028	4265	4348	4246	4294	4291	4528	4489	4236	4373	4282	1201	1184	1252	1183	1205	1182	1199	1279	1142	1223	1209	1171	1215	1196	1211	1131	1233	1224	1171	1188	3651	3497	3559	3540	3653	3663	3532	3600	3671	3497	4846	4874	4868	4830	5005	5080	5038	4831	4876	4911	1256	1216	1354	1257	1150	1167	1150	1199	1291	1270
chr1:145000001-150000000	7416	7283	7430	7376	7294	7482	7518	7624	7333	7463	7431	7343	7270	7423	7297	7115	7420	7203	7139	7143	18427	18585	18563	18503	18547	18728	18398	18320	18476	18629	18858	18895	19108	19118	18862	18921	19019	18823	18839	18981	7907	7570	7704	7639	7481	7467	7422	7612	7582	7445	7332	7612	7619	7446	7578	7530	7602	7405	7407	7427	33000	32982	32572	33134	32762	33164	32759	33084	32935	32007	7460	7389	7493	7443	7534	7534	7477	7276	7426	7541	7232	7400	7509	7347	7398	7432	7439	7490	7322	7324	7329	7331	7489	7587	7406	7546	7646	7339	7198	7456
chr1:150000001-155000000	17247	17758	17171	17376	17344	17532	17760	17423	17427	17714	17470	17394	17229	17171	17480	17274	17094	17030	17313	17340	17319	17644	17241	17269	17268	17604	17628	17210	17086	17572	17603	17437	17534	17599	17850	17815	17711	17624	17458	18061	18237	17702	18152	17630	18307	17880	18213	17987	18109	17885	17778	17748	17784	17686	17473	17568	17654	17670	17668	17742	17310	16827	17269	17040	17235	17200	17002	17245	17058	17255	17632	17583	17779	17008	17422	17517	17237	17829	17778	17527	53356	52754	52786	53382	53204	53004	53007	52746	52590	52844	17924	17500	17440	17851	17620	17955	17448	17749	17816	17454
chr1:155000001-160000000	17863	17969	17892	17833	17560	17700	17606	17588	17730	17648	52245	51532	52551	52389	52575	52041	52211	52657	52186	52173	79946	79276	79770	79645	79930	79694	78862	79386	79882	79756	81038	80188	81262	81101	80404	79577	80996	81206	80485	80678	54306	53943	54371	53823	53932	54420	54298	54173	54344	54323	17876	17933	18267	17740	18094	18081	17892	17740	17881	17600	17562	17243	17311	17385	17298	17420	17433	17127	17237	17359	17773	17526	17599	17481	17663	17734	17726	18029	17722	17629	17827	17729	17912	17853	17703	17836	18176	17817	17455	18049	18045	17955	18058	18018	17902	17995	18234	17615	18123	18113
chr1:160000001-165000000	17499	17906	17579	17892	17530	17848	17725	17772	17697	17579	17444	17357	17574	17268	17132	17485	17445	17657	17500	17464	17655	17671	17909	17604	17486	17461	17574	17617	17523	17711	18178	17498	17885	17727	17877	17929	18035	18002	17751	17829	18215	18208	18165	18225	18073	17994	18060	18063	18272	18158	89010	90052	88769	88574	89172	88637	88820	89009	89317	89054	86294	86722	86864	87083	86557	87143	86301	86485	86412	86441	88631	88138	88437	89179	87723	88367	88131	88760	88815	88902	89737	89469	88806	89389	89118	89082	88740	89362	89450	88976	90253	89509	89560	89981	88730	89219	89599	89620	89184	89303
chr1:165000001-170000000	18372	17920	18353	18209	18117	18143	18074	17660	17927	17926	18109	17642	18065	17481	17869	17791	17849	17806	17872	17599	18038	18016	17996	18253	17856	18177	18215	18174	18391	18011	18523	18527	18567	18449	18365	18302	18010	18412	18407	18092	18790	18241	18626	18401	18577	18458	18561	18257	18719	18786	55378	54813	54485	55049	55359	54964	54859	54988	55559	55873	80161	80595	80372	80471	80353	80421	80109	80198	80287	80392	54859	54639	54355	54143	54956	54717	54313	54319	54141	54737	55053	54852	55463	55314	55717	54953	55368	55170	54982	55430	54760	55419	54949	55053	55698	55564	55577	55083	55022	54907
chr1:170000001-175000000	17867	17796	18052	17914	17720	18022	17835	17943	17772	17835	44130	43883	44960	44070	43815	44413	44519	44489	44253	44623	44834	45059	44538	45211	44525	44877	44591	44949	44919	44743	44898	45808	45948	45009	45339	45133	45657	45718	45679	45392	64411	64639	64111	65057	64700	64174	63984	64768	64616	64752	18325	18388	18060	18361	18319	18314	18283	18135	18002	18301	17911	17547	17834	18132	17869	17810	17835	17800	17459	17612	18132	17837	17933	18080	18003	17836	18110	18245	18113	18285	18395	18100	18396	17952	18478	18286	18076	18375	18325	18138	18355	18336	18317	18151	18247	18192	17894	18535	18244	18103
chr1:175000001-180000000	17915	17875	18024	17926	18281	18297	18037	18074	18248	17815	1	0	1	0	0	0	2	0	0	3	0	1	0	0	1	1	1	0	0	1	1	0	1	2	0	1	1	1	0	0	1	0	1	0	1	1	2	1	0	0	18471	18103	18442	18294	18330	18537	18338	18423	18339	18114	17898	17914	17837	17920	17837	17625	17577	17745	17689	17658	18491	18190	18021	18232	18182	17883	18352	17929	18123	18141	18363	18223	17952	18958	18659	18190	18229	18214	18563	17914	55592	55111	55203	54491	55355	54662	55069	55476	55013	55296
chr1:180000001-185000000	18124	18198	18508	18094	18449	18218	18049	18213	18247	18083	17894	17870	18009	17648	18309	17757	18031	17641	17953	17798	45360	45246	45841	45593	45373	45299	44961	45095	45565	45651	46299	45926	45511	45816	45408	45254	45567	45782	46281	45221	55180	55962	55974	55657	56164	55433	56088	56164	55940	56634	64157	64078	63921	64000	63918	64410	64300	64445	64344	63612	62415	62520	62646	62169	62318	62609	61893	62478	62564	62399	63378	62974	63656	63250	63822	63196	63022	63137	63542	63513	64076	63999	64562	64757	64423	64109	63647	64926	64061	64455	63951	64070	64496	64512	63855	64590	64558	64810	64235	64651
chr1:185000001-190000000	18094	18170	18169	17966	17985	18113	18084	18170	18335	18022	61747	61381	61684	61816	62069	61820	61865	62498	62236	61748	62909	63426	63574	62794	62927	63282	63012	63079	63502	63425	91546	90988	91589	91638	90418	91127	91485	91418	91171	91477	64559	64208	65178	64573	65027	64767	64787	64936	64637	63850	26997	26810	27201	27336	26915	27159	27289	26867	26686	27170	26906	26554	26121	26757	26844	26548	26314	26186	26520	27029	26888	27023	27092	27221	26909	27449	27035	27135	27057	27095	28027	27425	27684	28080	28008	27878	27623	27775	27996	27429	27709	27582	27791	27730	27366	27539	27553	27045	27422	27274
chr1:190000001-195000000	18025	18309	18376	17956	18272	18193	17961	17989	18547	18135	17742	17798	18150	17845	17924	17718	18167	17754	18386	18041	17993	17959	18231	18415	18130	18302	18205	18136	17631	18184	18446	18837	18141	18551	18679	18324	18469	18006	18302	18256	18487	18724	18824	18392	18761	18303	18402	18471	18613	18501	18499	18771	18094	18603	18348	18506	18264	18147	18521	18479	18200	17672	17975	17496	17601	17789	17912	17865	18038	17707	45883	46001	46053	45847	45686	45746	45642	45677	45993	45929	45434	44971	45572	45822	45658	46190	45584	45680	45622	45115	18548	18357	18129	18234	18304	18225	18500	18130	18133	18220
chr1:195000001-200000000	16415	16745	16866	16642	16505	16697	17069	16671	17089	16874	16772	16480	16342	16504	16304	16086	16242	16216	16111	16161	82696	83050	82377	82778	83612	82293	82398	83201	83113	82866	84027	83837	84227	84347	84058	84090	84593	84577	83476	84354	16937	17065	17064	16995	17516	17203	16931	16855	17077	17137	17153	17126	16854	17216	17155	17094	17084	17289	17137	16942	16512	16325	16565	16496	16289	16250	16314	16233	16447	16390	16946	16716	16702	16827	16625	16620	16563	16956	16978	16646	16428	16669	16489	16499	16611	16923	16730	16482	16431	16659	16879	16958	16995	16949	16551	16634	16554	16882	17064	16926
