bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:50000001-55000000	73276	72969	72983	73017	73182	73347	73110	72991	73365	73454	71501	71424	71192	72010	71418	71353	70935	71450	71468	71201	72508	72928	72479	72551	72568	72555	72019	72909	73641	72991	73531	73488	73772	73772	73253	73896	73028	73331	73830	73716	148896	150109	149805	149607	149423	149057	148787	149634	149204	150099	259405	260138	260032	259076	259190	259075	259662	259450	258616	260359	251085	252136	251452	250511	249753	251087	250145	250673	251809	251752	256990	257137	256225	256473	258057	256705	255516	257275	255865	256916	256275	256659	257455	256514	257093	257054	257776	256870	256360	256973	257340	257441	257701	257228	257420	257427	258740	258030	257086	257507
chr1:55000001-60000000	72679	72258	72170	72165	71993	71758	72729	72048	71741	72463	177508	178771	178869	178394	177231	177579	177771	177683	177730	178851	181310	180196	181413	181168	181594	181106	181811	180617	180166	181179	219393	218476	219646	219859	220387	219498	219263	219862	218519	220158	184351	185919	184484	184931	186674	186827	185756	185561	185212	185994	73317	73275	73424	73803	73376	73826	73012	73476	72744	73080	71729	71595	71782	71505	71159	70679	70680	71214	71163	71243	72489	73158	72470	72317	72756	72222	72371	71901	72669	71793	255703	254447	256773	257434	256885	256281	255326	256999	256906	256249	73737	73793	72740	73133	73879	73287	73695	73444	73180	73487
chr1:60000001-65000000	72719	72946	72400	72813	72743	71870	72500	72079	72739	72594	71591	71462	71584	72503	71480	72319	71852	72074	71134	71823	72378	73197	72949	72722	72279	72415	72444	72798	72515	72507	73468	73580	74048	73775	73621	73485	73535	73359	73310	74086	74570	74537	73974	74028	74406	74126	73961	74349	73392	74057	73258	73694	73619	73368	73280	73975	73981	73693	73288	73285	71496	71645	70969	71194	71539	71603	71649	71634	71665	71380	72474	72914	72555	72647	73454	73299	72554	73410	72044	72659	73940	73411	73460	73207	74029	73528	73683	73057	73698	74205	73730	74429	73281	73360	73257	73917	73360	73736	74041	73045
chr1:65000001-70000000	71839	71817	72192	71586	71372	71767	72462	71962	72038	72199	69735	70557	70885	70461	70903	71009	70954	70970	70426	71204	71877	72504	71527	71366	72073	71310	72159	72929	71479	71879	73095	73303	72431	72999	73066	72505	72710	73111	72487	73119	111723	111336	111214	111186	111707	111415	111788	110766	111153	111962	217320	216366	216738	216425	216129	216356	216364	215408	216119	215870	211720	211854	210947	209515	211096	209533	211573	210718	210732	212547	215878	215338	215911	214808	215063	214994	215868	215186	214918	215503	219279	219071	220218	220071	221140	219607	219687	219849	220212	219021	219660	219285	219040	220265	219755	219096	219325	218895	219595	218500
chr1:70000001-75000000	73045	72445	72336	72911	72279	72683	73188	72937	72503	72563	71552	70944	71051	71489	71200	71103	70971	71302	70969	70913	72368	72185	72346	72090	72142	72235	72681	72060	72539	72597	73311	72410	73755	73166	72999	72923	73562	73543	73330	73563	74127	74922	74417	74394	74222	74598	74586	74882	73984	74602	147215	146354	145946	146416	147241	146635	146860	146129	146821	146695	141696	141518	143076	143044	142037	142528	144065	142106	141917	142295	143744	145578	145121	145582	144951	145390	145672	145040	144892	144778	147744	147151	146118	146578	147229	146599	146746	146805	147443	147052	146361	147760	147034	147824	147183	146973	145855	147359	147658	146846
chr1:75000001-80000000	72367	72486	72676	72883	72485	73187	72547	72133	72401	72683	70902	71020	71503	71707	70821	70803	70393	70963	70889	71377	252988	252429	252970	252123	252159	252265	252227	252116	252245	252470	255778	255602	255935	255750	255086	255347	255364	255900	254814	256237	73709	73506	74017	74709	74172	74501	74186	73892	73507	74282	72783	72696	73329	73568	72898	73068	73102	73157	72498	72965	70936	70497	71644	71442	71171	71339	70608	71449	71416	71237	71822	72005	71880	72735	72121	72836	72774	72170	71843	72140	72770	73413	72461	73036	73032	72678	72802	72722	72440	73551	146894	146952	146777	147019	145496	145886	146808	145780	146862	146456
chr1:80000001-85000000	70342	69588	70228	70629	70788	69880	70078	70639	70174	70093	173391	172777	172782	172916	172550	172742	173884	172989	172656	173121	351324	349686	352018	350110	352474	350517	349675	349999	350734	351626	355350	356603	356352	354855	354337	355024	354774	355881	353198	355648	215521	215606	216011	216644	215430	216396	216075	216599	216638	217058	70871	71882	71372	72075	71008	71729	71303	70922	71033	71454	310878	312198	310928	310674	311470	312512	310948	311503	309712	310363	70274	70882	70286	69772	70476	70112	70285	70376	69961	70580	71298	71496	70698	70719	71067	70854	71168	71305	70993	71193	70937	70705	71194	70561	71307	71131	71152	71583	70961	71614
chr1:85000001-90000000	72052	72008	71990	71512	72268	71677	72326	72827	71737	72254	34984	35478	35282	35506	35090	35325	35301	35430	35378	35285	35604	35367	36747	35728	35439	36058	36050	36126	35909	35760	36634	36203	37188	36496	36553	36385	36459	36819	36900	36756	37427	36890	36813	37260	36996	36961	37122	36633	37440	37144	255500	256080	256246	255143	256714	255471	255548	255187	254792	256658	248337	247735	247304	248464	248056	248393	249153	248230	248421	248089	253952	253057	253134	253449	253553	253806	254220	254180	254112	253102	254204	252531	253765	252971	254200	253919	254082	252941	253574	254500	253785	254957	254129	255650	255310	255457	253899	254892	254661	254132
chr1:90000001-95000000	72404	72696	71573	72148	72993	73119	73272	72563	72074	72030	70881	70932	70757	71093	70624	71246	70188	71620	71141	71315	72524	72307	72420	72463	72592	72757	72366	72061	72205	72236	73942	73141	73724	73291	73088	73124	73277	73361	72919	73446	73899	74104	73927	73599	74213	73846	74865	74181	74308	74185	73168	73034	73660	72905	73293	73400	72652	72965	73238	73170	284821	284538	285456	284069	284395	283769	284023	285956	284395	284683	72551	72649	72185	71848	73035	72716	72494	72119	72550	72212	220178	220596	219704	219980	220765	221472	220071	219834	220174	220527	72911	72746	73581	73772	73063	73260	72889	73548	72998	73760
chr1:95000001-100000000	72206	72661	72284	71870	72474	72384	72524	73025	72986	72329	70674	70719	70440	70781	70834	70787	71097	70910	71160	70768	72091	72223	71537	72111	71427	73084	72209	72353	71694	72013	73483	73307	73197	73724	73564	74336	73591	73290	73476	73058	75093	74359	74285	74783	75122	74919	74820	74586	75076	74416	73261	72465	73653	73194	73399	73044	73991	73749	72835	73511	320422	320033	320784	319128	320331	321240	319852	320792	320300	319515	72330	72017	72697	72290	72164	72310	72407	72738	72536	71731	72777	72536	73910	72260	73251	73333	73882	73079	73089	73101	72892	72549	73109	73662	73517	73621	73463	73273	73507	73324
chr1:100000001-105000000	70551	70006	70517	70525	69779	70937	70595	70466	69832	71084	68720	69009	69139	68837	68288	69038	68750	68738	68820	68706	70527	70225	69593	70349	69692	70219	70419	70048	69364	70085	105935	105911	106141	105214	105861	106353	105817	106277	105861	107239	71710	72573	71633	71869	71914	71441	72040	71885	72253	71809	70524	70286	70818	70825	71041	71177	70934	70048	71002	70730	69318	68477	69228	69204	68906	68739	69386	69348	69797	68634	246901	246876	245923	245434	245417	246885	247456	245867	246521	247011	282172	281895	281403	284016	283166	284102	283144	283895	283140	282275	214664	212835	212871	213059	212767	214072	213957	213880	213432	212816
chr1:105000001-110000000	70202	69739	69920	69964	69918	70146	70066	70152	70620	70474	171004	171815	172123	170037	170873	170425	171545	170723	171547	171079	173963	174419	173336	173766	173403	174130	173722	173444	174360	173659	174420	176463	176702	176556	175243	176408	175131	175914	176556	176488	178332	178935	178860	177894	177236	177957	178284	178346	178328	178459	315247	312743	314164	314172	314354	314742	313321	313518	313167	313795	306383	306707	306221	306494	306394	306388	306173	304749	305780	305594	311165	311776	312385	311643	311578	312154	313536	311842	312035	312437	318858	320646	320708	319317	321672	318723	319552	319778	319149	318653	317823	317204	317880	318054	318346	318749	318321	317292	317550	319270
chr1:110000001-115000000	72639	72652	72723	72842	73027	72381	72592	73008	72388	72863	178098	177856	178685	178235	177179	177730	178008	178011	178320	176787	181122	181053	181723	181311	180353	180853	180764	181151	181063	181151	183678	183195	183223	183239	184544	183736	183312	183246	182683	183774	186989	186123	186976	186198	185461	186085	186751	185212	186755	186068	73456	72698	72727	72925	73712	73269	73636	73302	73018	73005	71705	71217	71022	71952	71309	71134	71164	71261	70922	71368	72834	72283	72345	72156	72366	72799	72315	72992	72619	72413	72778	73210	73129	73273	73265	73214	73385	74118	73004	73004	73424	74100	73538	73870	72478	73774	73077	73006	73743	73389
chr1:115000001-120000000	72367	72335	71596	71954	72500	71796	71751	72043	72017	72664	71168	70597	71116	70464	70770	70898	70651	70642	70566	70379	72284	71737	71604	71551	72103	72143	72121	71971	72503	71754	73056	73319	73033	72662	73382	72464	73206	72208	72327	73490	37259	36760	36910	37139	37140	37073	37449	37658	36834	37317	72590	72867	72423	73068	73075	72213	72673	72440	73622	73821	70378	70953	71114	70144	70350	70446	70695	71108	70556	70595	72165	72056	72081	71900	71761	71773	71797	71767	72199	71881	71827	71996	73138	72519	72224	72423	73164	72426	73025	72831	72900	72363	72132	73653	73655	72862	73278	73290	73477	73350
chr1:120000001-125000000	8136	8096	8078	7966	8177	8131	8094	8017	8085	8141	19860	19722	19644	19679	19722	19617	19632	19565	19886	19952	20132	20137	20314	20275	20163	20283	20128	20445	20377	20080	20414	20245	20529	20139	20506	20314	20469	20486	20431	20084	21082	20826	20495	20269	20696	20114	20683	20700	20738	20887	8052	7875	7964	8300	8163	8067	8084	8274	7949	8088	31662	31516	31416	31414	31656	31561	31332	31637	31407	31416	36638	36461	36895	36466	36538	36214	36434	36267	36227	36483	36836	36260	37010	36826	36759	36769	36478	36532	36645	36801	8192	8233	8213	8235	8176	8161	8312	8434	8343	8169
chr1:125000001-130000000	2247	2217	2206	2093	2133	2211	2145	2184	2332	2242	2269	2139	2327	2135	2278	2259	2232	2195	2313	2233	8641	8971	8884	8914	8851	8831	8716	8980	8917	8907	9045	9028	9157	9086	9052	8956	8751	9060	9130	9159	2247	2286	2288	2335	2281	2313	2344	2371	2332	2157	7978	7599	7969	8076	7908	7955	7948	8085	7723	7988	7786	7945	7834	7976	7514	7928	7827	7726	7751	7834	7952	7899	7910	7745	7800	7918	7903	7922	7719	7790	8010	7940	8056	8023	7787	7919	8120	7940	8004	8050	8013	7823	7988	7887	7906	8072	7811	7713	8257	8049
chr1:130000001-135000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:135000001-140000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:140000001-145000000	4757	4877	4825	4833	4843	4836	4896	4918	4790	4933	4774	4879	4617	4574	4844	4781	4726	4734	4686	4777	4870	4780	4647	4519	4744	4694	4842	4732	4607	4564	11821	12154	12222	12177	12205	12177	12135	12041	12233	11842	17411	17344	17336	17419	17305	17215	17400	17239	17671	17057	4846	4890	4836	4825	4929	4723	4839	4980	4690	4774	4731	4832	4675	4786	4833	4582	4693	4773	4824	4702	14604	14465	14335	14729	14617	14543	14523	14884	14395	14535	19275	19586	19178	19414	19333	19807	19422	19384	19426	19627	4892	4858	5027	4788	4908	4845	4951	5039	5052	4762
chr1:145000001-150000000	30037	29626	29634	29773	29557	29637	29729	29673	29836	29603	29393	29380	28756	29167	29276	28747	28976	29334	29348	29495	73726	73966	73689	73946	74068	74329	73901	74098	73804	74382	74738	74920	75716	75066	75352	75390	75562	75843	75668	74989	30754	30187	30486	30826	30360	30578	30368	30337	30286	30194	29711	29605	30025	30096	30013	29902	29820	29984	29963	29534	131011	131150	130567	130403	130833	130425	131069	130954	130788	131173	29560	29443	29943	29814	29862	30342	30274	29924	29811	29837	29245	29616	29971	29747	29832	29661	29537	29961	29640	29526	30285	29630	30063	29830	30220	29947	30122	29917	29978	29710
chr1:150000001-155000000	69963	70574	69857	69947	69946	69668	70703	70686	69502	70938	69153	68450	69371	68688	69152	69021	69118	69074	68693	68954	69810	69852	70014	69329	69762	69842	70275	70117	68613	70521	70698	71177	71731	71124	71398	71421	70605	70498	70885	71353	72513	72478	72758	71130	71819	71569	71803	72065	71692	71700	70052	70146	71272	70893	70340	71094	70902	70567	70360	71329	69363	69094	68616	68876	68606	69023	68939	68797	69097	68979	70942	70477	70889	70151	69472	70129	69980	69675	69894	70415	213028	213231	211954	212270	212438	212586	210918	211255	212259	212231	71241	70460	71171	70547	70618	71378	71321	70767	71116	70737
chr1:155000001-160000000	71295	71350	71016	71283	70368	70694	70623	71433	71118	70426	207707	207801	209165	207492	208103	208698	207917	208335	207742	208877	316825	317277	317950	316691	318310	316560	316818	317129	317087	317444	321563	322256	321629	322384	323467	322096	322117	322899	322045	321432	218134	217039	217924	217082	216347	216602	215517	217439	216769	217721	71598	71740	70501	71237	71590	71156	71261	71247	70417	71236	69235	68890	69200	69424	68857	69616	69192	69795	69619	69734	70447	70969	70268	70829	70653	70412	70745	70639	70791	70642	71323	70726	71200	70779	71446	70762	71024	70856	71241	71610	71719	71819	71763	72134	72091	71417	71380	71218	71490	71771
chr1:160000001-165000000	70553	71811	70864	71303	70915	70654	70488	70496	69614	70498	69153	69201	69659	69855	70155	70016	69907	69106	70393	69211	70594	70561	71305	70495	71114	70627	70704	70744	70518	71070	71655	71547	71195	70710	71703	71569	71370	70840	71375	70518	73047	72507	72542	72874	71938	72796	72230	72256	72591	72145	357838	357977	356770	356647	357950	358169	358409	357769	356264	356776	347774	347783	347382	347480	347720	346204	348084	348731	347720	347001	352319	354104	354806	354285	352088	354021	354347	352970	353269	354886	358307	358481	357187	357168	357058	358127	357235	356954	357669	356249	357803	358666	357494	357596	356498	358956	357505	359344	357604	356188
chr1:165000001-170000000	72840	72640	72152	72600	72246	71887	72203	72299	72253	72554	71363	70906	71696	71434	71126	71100	71146	71462	71559	71446	72508	72422	72436	72762	72519	72828	72674	72183	72347	71946	73560	72668	73615	72869	73598	73449	73559	73334	73770	73252	75050	75087	75213	74087	73961	74354	74459	74589	74100	74599	221154	219503	218886	219977	219576	220571	219681	219877	220308	219908	321411	320300	320135	321045	320906	320040	321316	320182	320484	320009	218022	218330	219167	218187	217332	218195	217720	218337	217423	218860	220058	220967	220286	220369	220691	218516	219250	220589	219857	219874	219424	221660	219984	220006	221490	219252	220636	220564	219482	219692
chr1:170000001-175000000	71625	72448	71932	72526	71452	71947	71786	72522	71671	72206	176959	176561	176284	176506	176078	177223	176539	176268	177084	176995	179170	180109	179132	179009	179927	180124	179741	178947	178861	178866	183327	182049	182699	182505	182237	182087	183325	182074	181905	182695	257366	258200	257219	257945	258425	257853	257193	259098	257200	258665	73093	73256	73050	72391	72453	72824	72359	72801	73061	73320	71209	71308	71144	70347	70696	70282	70787	70947	69966	69775	71340	71572	71600	71893	71579	72765	71844	72168	71966	72458	72808	73052	72690	72488	73337	72903	71618	73413	72840	73199	72447	72230	72535	72592	72347	73487	72237	73041	72445	72841
chr1:175000001-180000000	72269	72520	72516	71613	72014	72637	72562	72572	71637	72346	1	1	3	3	1	0	2	1	1	1	1	0	1	2	3	2	0	3	1	2	3	1	2	4	1	1	1	1	1	2	3	2	3	1	3	2	0	1	2	0	73836	72971	73207	73482	72985	73563	73308	72545	72967	73012	71208	70967	71332	71407	70804	70619	70540	71304	70599	70499	72513	72489	72541	73015	73162	72841	71923	72135	71990	72171	73512	73203	73850	73810	73186	73270	73741	72886	73540	73846	220303	220406	219571	218861	220333	220711	219734	220703	219453	219997
chr1:180000001-185000000	72682	72469	73020	73026	72658	72930	73144	73039	72717	72627	71231	71567	71365	70259	71647	70671	70993	71864	71044	70954	181269	180981	180945	182444	180705	181145	181708	181783	181480	180071	183542	182642	182547	183149	183050	182580	182512	182108	182708	182679	224857	224777	224326	222907	223468	223398	224017	223325	222964	224454	257341	257099	257909	257244	258168	256841	258412	256376	257340	257068	249917	249112	249355	251533	249755	249691	248316	249735	248577	250700	254670	254914	252820	253918	253875	254501	253725	253082	255135	255083	255895	256690	256815	257590	256895	257219	257637	257288	258077	256734	257604	257731	258809	257697	256115	257607	257833	257843	257505	257393
chr1:185000001-190000000	72804	72424	72700	72547	71673	72568	71971	72671	72236	72536	246853	247677	248616	247221	248123	247850	248111	247439	248642	248513	251310	252303	252961	253308	252059	252418	252188	253313	252711	252185	364570	365871	365286	364927	364935	363609	365964	365154	365631	365153	258920	259195	259631	258785	260007	257741	258422	259140	259624	258847	107745	107656	108612	107904	108616	107887	108030	107883	108704	108897	105046	106473	106251	105990	105443	106036	105442	106011	105961	106520	108351	108432	108021	108112	107171	108945	107544	107829	108343	107817	109932	110698	110053	110991	110693	110775	110141	110923	110870	109981	109532	109799	110353	109465	110499	110022	110000	109240	109901	109438
chr1:190000001-195000000	72930	73145	73002	72685	72797	72493	73055	73053	73277	72397	71007	71671	71378	71948	71504	71624	71465	71765	72050	71844	72273	72502	72646	72722	72874	73112	72399	72505	72257	72986	72682	73698	74038	73450	73871	73488	74189	73240	73308	73643	74868	74214	75130	74620	74801	74237	74253	74456	74302	74387	73243	73060	73678	74392	73244	73245	73195	73127	73870	72918	70800	71297	72034	71804	71378	71155	71516	71764	69947	71289	182723	184018	183805	183663	182883	183690	183435	183764	183303	183741	182829	182297	182340	181811	181538	182300	181614	181883	182046	180964	73369	72892	73833	73966	72835	73352	73694	72887	72960	72443
chr1:195000001-200000000	66499	67129	66717	67240	66693	67093	66312	66457	67638	67167	65302	64777	65516	65412	65491	65700	65522	66553	65300	65327	331035	332246	332492	331612	332627	332343	333533	331747	331464	331895	336755	337507	337975	336996	337592	337756	337575	337184	337397	336760	67770	67734	68671	67834	68376	67728	68195	68168	68517	68561	68286	68288	67965	67975	67695	68626	67554	68412	67961	68043	65782	66055	66289	65903	65887	65679	66330	65617	66361	65223	67441	66691	67058	66580	66583	66892	67229	66370	67049	66597	66503	66608	66808	66554	66776	66665	66665	67250	66453	66962	67281	66776	66136	67597	67060	66398	67344	67026	67293	67015
